기타_용도_분리,Total_Count
하수종말처리장,337
교무실,336
1977,335
eve실,335
임대아파트,335
농기계보관,335
양로원,334
정화조관리층,334
단독주택2가구,334
소형호텔,334
주유소사무실,333
core,332
화실,332
미술학원,332
세척실,331
종업원숙소,331
복도등,331
유희실,330
마을경로당,330
폐기물처리장,330
가축사육시설,329
슈퍼,329
가스배관시설,329
식품위생시설,328
카센터,328
예체능계학원,328
체능계강습소,326
공유면적,326
제연실,326
수장고,325
다세대주택3세대,325
분석실,325
염소사육장,325
망루,325
지하창고,324
돈분건조장,324
연초건조실,324
도매시장,324
재활용품보관창고,324
제2종근생시설,323
다가주주택,323
감귤저장,323
공용공간,323
교회사택,322
바베큐장,322
농수산물,322
레스토랑,321
shelter,321
사육장,321
pit층,321
마을공동작업장,320
사설학원,320
고압가스저장소,320
1901년,317
주택및부속사,317
야외화장실,316
근생용,316
배양장,315
소화펌프실,315
액화가스취급소,315
주택및축사,315
1975,314
공구실,314
기계실등,314
el,314
쇼핑센터,313
소회의실,313
피트,312
다구구주택,311
일반게임제공업소,311
분만사,311
농업인,311
202호,310
1가구주택,310
단독주택1가구,310
비상계단,310
동물및,310
농,309
냉동실,309
약품투입실,309
1978년,309
목사관,309
중,308
농어가창고,307
경로회관,307
쉼터,307
착유사,306
다목적홀,306
편의점,306
삼성각,305
잿간,305
1960년,304
맘스스테이션,304
방아간,304
부속계단실,304
관리노인정,303
마을창고,303
국민주택,302
공동주방,301
공조기실,301
욕탕,301
관망탑,300
6객실,300
요양소,300
기타관광숙박시설,300
원료창고,300
매,300
옥외승강기,299
주택부,298
상온창고,298
물품가공공장,298
도시형원룸,298
양조장,297
식물원,297
가스충전소,296
18호,296
공동시설,296
가구제조업,296
공동변소,295
포치,294
간이집하장,294
1972,293
지구대,293
다가가주택,293
교육및연구시설,293
2층1가구,293
양잠,293
단,292
제조소,292
그늘집,292
저장실,291
중대본부,291
냉장,291
1970년,291
2가구주택,290
1979,290
입주자회의소,288
티하우스,287
ㅡ,287
계단실및주차장,287
무인택배실,286
사슴사육장,286
다,286
외부통로,286
관람장,286
전용,286
과학실,285
해태건조장,285
외삼문,285
자돈사,285
양수실,285
면회실,285
부속건축물,284
1973,284
17호,283
관리시설,282
안내소,282
용역원휴게실,282
다동,282
본관교사,281
도자기공장,281
산부인과병원,280
보관실,280
장애인승강기,280
차양대,280
주택및사무실,279
아파트3세대,278
휴계음식점,278
사랑채,278
흡연실,277
1965,277
문화시설,276
제1종근생활시설,275
체육창고,275
제연팬룸,275
농기구수리점,275
노인복지회관,275
단층주택,274
비각,274
곡물건조장,274
스크린골프장,274
프로그램실,273
샤워,273
사무실및점포,273
키즈카페,273
기술계강습소,272
본부석,271
동아리실,271
농가시설,271
기타병원,271
옥내저장소,271
취급소,270
옥외계단실,270
불당,270
주택부속건물,269
다세대주택1세대,269
대형판매점,269
목욕실,269
본당,269
연면적산정시제외,269
원장실,268
소화가스실,268
실내체육관,268
하,268
내,268
외부승강기,267
강의동,267
창고및사무실,266
주간보호센터,266
연립사택,266
연면적에,266
지하주차장1,266
판매소,265
택배보관소,265
주차장및계단실,265
커뮤니티,264
물류터미널,264
401호,264
폐기물,263
1950년,263
요사,263
계단실및물탱크,263
복층상층,263
목재건구제조장,263
후생복리시설,263
주간보호시설,262
유류창고,262
상,262
보일러실및,262
4층포함1가구,261
가구전시장,261
숙,260
영사실,260
주민휴게시설,260
곡물제분업,260
비료창고,259
분뇨쓰레기처리시설,259
house,258
농기구창고,258
청소년게임제공업,258
높이,257
스라브,256
1980,256
내삼문,256
다세대2세대,255
정압실,255
카페테리아,255
주점,255
친환경퇴비사,254
건조창고,254
계절창고,254
농사,254
민박,253
기타판매및영업시설,253
게스트룸,253
폐기물보관장,253
위생,252
공부방,252
주계단,251
r,251
1992,251
오수처리시설,251
수처리실,251
1940년,250
향교,250
조례대,250
영,250
공유,250
계단실1,249
의,249
농수산물창고,249
지하주차장2,249
통신,249
21호,249
공원에,248
기타소매시장,248
농산물직판장,248
위험물처리시설,248
현재,248
창고1,247
수도장,247
변압기실,246
비육사,246
11실,246
배수지,246
대문채,245
출하대,245
1955,244
101,244
5객실,244
떡방앗간,244
주차장램프,244
복층하층,244
보관,244
동회관,244
d동,243
정화조관리실,243
tower,243
통합경비실,242
사회적기업,242
1종근,242
이용실,242
1993,242
저압수전실,241
지붕,241
주출입구,241
임원실,241
사무실및주택,241
엘레베이터실,241
농기계수리센타,241
방재시설,241
교회당,240
f실,240
3호실,240
화물용승강기,239
1945년,239
공동화장실,239
의료,238
기타자원순환관련시설,238
2종근,237
별장,237
1991,237
근로자휴게실,237
생시설,237
tps,237
외양간,237
체육실,237
배양실,236
운영실,236
새마을금고,236
노인시설,235
공회당,235
교사1호동,235
커뮤니티시설,235
석유판매취급소,235
선방,235
78년,235
전체공용,235
관리사및창고,235
건축자재소매점,235
사회복지관,234
2개소,234
문화집회시설,234
학생식당,234
보일러실및대피소,234
재활용보관소,233
103호,233
외부화장실,233
시험소,233
3동,233
계단실및복도,232
위험물저장고,232
자연권수련시설,232
기타목재가구제조업,232
지하차고,232
자재보관창고,232
